2024-10-22 09:44:11.523 [info] Configuration changed
2024-10-22 09:44:12.454 [info] Configuration changed
2024-10-22 09:46:37.554 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W1sZmlsZQ%3D%3D
2024-10-22 09:47:11.652 [info] /home/yoshee/.vscode/extensions/ms-dotnettools.dotnet-interactive-vscode-1.0.5229040/help/DotNetVersion.md closed
2024-10-22 09:47:30.634 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W1sZmlsZQ%3D%3D
2024-10-22 09:50:08.043 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W3sZmlsZQ%3D%3D
2024-10-22 09:50:11.127 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W4sZmlsZQ%3D%3D
2024-10-22 09:50:11.814 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:50:18.028 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:50:22.040 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:50:24.555 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:52:17.596 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:53:38.855 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:55:50.144 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:56:43.246 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:56:47.947 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:57:10.502 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:57:16.167 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:57:27.691 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_7_classwork.ipynb#X31sZmlsZQ%3D%3D
2024-10-22 09:57:29.256 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_7_classwork.ipynb#X31sZmlsZQ%3D%3D
2024-10-22 09:57:29.606 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_7_classwork.ipynb#X31sZmlsZQ%3D%3D
2024-10-22 09:57:32.299 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:57:35.863 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:57:58.682 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:58:26.525 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:58:31.470 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
2024-10-22 09:58:31.704 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#W5sZmlsZQ%3D%3D
